,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,leverage_hint,ESloss_SPY,ESloss_QQQ,ESloss_IWM,ESloss_EFA,ESloss_EEM,ESloss_TLT,ESloss_LQD,ESloss_GLD,k_SPY,k_QQQ,k_IWM,k_EFA,k_EEM,k_TLT,k_LQD,k_GLD,method_SPY,method_QQQ,method_IWM,method_EFA,method_EEM,method_TLT,method_LQD,method_GLD
2017-03-31,0.11976215439137301,0.10026445024848524,0.09853823777654175,0.0969672490678503,0.08331688487255444,0.1231966783120542,0.2876240579815732,0.0903302873495679,1.761145659654523,0.019395656346634385,0.023167389679501427,0.023573240625383175,0.02395515611959123,0.027879890054228612,0.018854936851656654,0.008076047623444826,0.025715246326167618,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2017-04-28,0.1191167732041384,0.09938687059017008,0.0992996938562181,0.0961908784016966,0.08170326699046278,0.12212642246792532,0.2849132987103787,0.09726279577901002,1.766944358663618,0.019139720253987698,0.02293926454416805,0.02295940327858466,0.023701433592945492,0.027904168348017653,0.01866804636223319,0.008001949108744279,0.023440223966674386,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2017-05-31,0.11831801420742889,0.09784835409331741,0.09771037770832011,0.09679379890338229,0.08119775699449179,0.1234804857729919,0.2857184796455512,0.09893273267451645,1.7730396804023185,0.019127322519311363,0.023128716252412834,0.023161376208632248,0.023380700450128484,0.02787154351743335,0.01832764750982986,0.007920757594669618,0.02287520779432486,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2017-06-30,0.11571951240982693,0.09351563175953015,0.09478316801152073,0.0955613387040504,0.08042769685879915,0.12261335595449861,0.294973218342413,0.10240607795936099,1.809411529284034,0.018845586257472083,0.023320187350065778,0.02300832625183969,0.022820965909088615,0.02711506281997201,0.017786007371018313,0.007393220527093647,0.021295631043085527,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2017-07-31,0.11589300052630876,0.09325713943045566,0.09453366438814792,0.09530592877357799,0.08021273511023702,0.12287834859978511,0.2956538880245992,0.10226529514688847,1.80667786576202,0.01876708120075045,0.023322325397915372,0.02300739493759153,0.022820965909088615,0.02711506281997201,0.017700216321752022,0.007356484861429888,0.021267951638450112,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2017-08-31,0.11489922819055363,0.09216317608205778,0.09418394497636821,0.09470293316005213,0.07991969108590308,0.1218875877769038,0.30020357831986616,0.10203986040829519,1.8106716197196078,0.018761369912108417,0.023389677030872146,0.022887838508353124,0.022762409259864846,0.02697291360125098,0.01768569681306963,0.007180683637294537,0.021125733748294018,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2017-09-29,0.11353023183231206,0.09211332408225667,0.09381896153587035,0.09420448018005448,0.0797293222071516,0.1211578855109074,0.2999934387582797,0.10545235589316768,1.8272638007321895,0.018887664522155297,0.02327916133019323,0.022855944010330746,0.022762409259864846,0.026895010174548855,0.01769856681576191,0.007147892770078271,0.020334500010067185,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2017-10-31,0.11307102801799025,0.0915774691871763,0.09319228575069245,0.09380286499249385,0.07948022769930807,0.12166183941145536,0.30205743897828835,0.10515684596259538,1.832883774498103,0.018854018298023537,0.023279123676919047,0.022875747858901296,0.0227268456181814,0.02682230905644574,0.01752269439242747,0.007057741197960549,0.02027298566929084,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2017-11-30,0.11278113498685374,0.0914209248900419,0.0929533581078792,0.0935623719383612,0.07962731412848008,0.12156501210682248,0.30087698179428957,0.1072129020472719,1.8412680799247734,0.018854018298023537,0.02325920007122593,0.022875747858901296,0.0227268456181814,0.02670412290037882,0.017491690625963143,0.007067265731108048,0.0198332247528982,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2017-12-29,0.11262329845802249,0.09112731945199186,0.09266903797698435,0.0933697655032153,0.08068635158596522,0.12150207441850093,0.29922756894525343,0.10879458366006647,1.8450076467058028,0.018806328243939838,0.023242543854618762,0.022855861730676615,0.022684331563881215,0.026250173382299638,0.01743205396988897,0.007078327462214179,0.019468163280395058,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2018-01-31,0.11431810130316859,0.09127447686764635,0.09386357093363061,0.09403367834756508,0.08167810489954834,0.12074546933237044,0.2962132783236375,0.1078733199924331,1.8403168582651022,0.01840366394156814,0.023049947707423205,0.02241414744714188,0.022373600137658926,0.02575808928732003,0.01742402369591547,0.0071025577608408354,0.019503172044479915,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2018-02-28,0.10869076500132087,0.08909007874345387,0.0928135158761524,0.0933919882035477,0.07969231260375152,0.12331086393340532,0.30198853286275645,0.11102194277561192,1.8139598453125478,0.01975688588501505,0.02410359347722396,0.023136619926687172,0.022993311120070047,0.026946024914139527,0.01741445134992967,0.007110836363650935,0.01934204164690405,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2018-03-29,0.10603289265041009,0.08713421923035414,0.0928623300400571,0.09379426410723979,0.07939545279513684,0.12388555534323091,0.30525004714376947,0.1116452386898017,1.808640637103871,0.020346506848555455,0.024759491684664812,0.023232229640943736,0.02300139562923645,0.027172827920642077,0.01741445134992967,0.00706764502305745,0.019323698903791972,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2018-04-30,0.10511035959900826,0.08628695793235683,0.09319878939766932,0.09412088430585486,0.07921548314504959,0.12378686822493686,0.3059706118704002,0.11231004552472418,1.802334991512612,0.02054040812683717,0.025021274781928983,0.02316564086803727,0.022938688904646683,0.027254895113988455,0.01744134669114534,0.007056264885454872,0.01922365603571016,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2018-05-31,0.1050604526685652,0.08651195590372467,0.09338819052710126,0.09384623754228189,0.0790784710736787,0.12402394452697146,0.30514480663602983,0.11294594112164694,1.7991818789153682,0.020574878026619763,0.02498621117158354,0.02314645981335177,0.023033486005267806,0.027334949319685057,0.0174289408978369,0.007083869533639172,0.019138412391013312,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
