src,dst,weight_pct,date
GLD,QQQ,0.1791202833277677,2013-02-04
GLD,IWM,0.21957775484703193,2013-02-04
GLD,EFA,0.5192671491271241,2013-02-04
GLD,EEM,0.8831594239098515,2013-02-04
GLD,TLT,0.22871430491632033,2013-02-04
GLD,LQD,1.7157592328652616,2013-02-04
SPY,QQQ,19.654477435166836,2013-02-11
SPY,IWM,19.66121307113583,2013-02-11
SPY,EFA,18.810486830567648,2013-02-11
SPY,EEM,18.28838132019741,2013-02-11
SPY,TLT,13.316122281856474,2013-02-11
SPY,LQD,2.4324613169610454,2013-02-11
SPY,GLD,0.6273055913183928,2013-02-11
QQQ,SPY,18.04417022859449,2013-02-11
QQQ,IWM,17.877124614663558,2013-02-11
QQQ,EFA,16.029695221513194,2013-02-11
QQQ,EEM,15.987842432985339,2013-02-11
QQQ,TLT,10.66349667291963,2013-02-11
QQQ,LQD,1.9867396729185287,2013-02-11
QQQ,GLD,0.37714482207084077,2013-02-11
IWM,SPY,18.23070943300378,2013-02-11
IWM,QQQ,18.06913903772116,2013-02-11
IWM,EFA,16.339416071082965,2013-02-11
IWM,EEM,16.44903463576859,2013-02-11
IWM,TLT,10.691326131010925,2013-02-11
IWM,LQD,1.7438243821649662,2013-02-11
IWM,GLD,0.6576020005709807,2013-02-11
EFA,SPY,17.47037492637883,2013-02-11
EFA,QQQ,16.087104614323508,2013-02-11
EFA,IWM,16.327042250363267,2013-02-11
EFA,EEM,18.63579968640624,2013-02-11
EFA,TLT,11.569025610599459,2013-02-11
EFA,LQD,1.3993061212708635,2013-02-11
EFA,GLD,1.8511597623275897,2013-02-11
EEM,SPY,16.62001420056188,2013-02-11
EEM,QQQ,15.749032376811742,2013-02-11
EEM,IWM,16.106711273596364,2013-02-11
EEM,EFA,18.24220717422592,2013-02-11
EEM,TLT,10.5885992554451,2013-02-11
EEM,LQD,1.056818735424226,2013-02-11
EEM,GLD,3.1834397065776914,2013-02-11
TLT,SPY,8.706919212910712,2013-02-11
TLT,QQQ,7.657801592879129,2013-02-11
TLT,IWM,7.571744212296121,2013-02-11
TLT,EFA,8.0603035528816,2013-02-11
TLT,EEM,7.546145524543873,2013-02-11
TLT,LQD,24.932798255675653,2013-02-11
TLT,GLD,0.7071943436356767,2013-02-11
LQD,SPY,0.3785126967961991,2013-02-11
LQD,QQQ,0.32590547605228415,2013-02-11
LQD,IWM,0.23171749631312413,2013-02-11
LQD,EFA,0.17693813182098575,2013-02-11
LQD,EEM,0.055353631563869195,2013-02-11
LQD,TLT,11.870746199074478,2013-02-11
LQD,GLD,2.6524220468304667,2013-02-11
GLD,SPY,0.11083031070626244,2013-02-11
GLD,QQQ,0.14365455715917752,2013-02-11
GLD,IWM,0.17658229529066524,2013-02-11
GLD,EFA,0.43028224975534163,2013-02-11
GLD,EEM,0.7683264478134295,2013-02-11
GLD,TLT,0.272705325864363,2013-02-11
GLD,LQD,1.7684672450426677,2013-02-11
SPY,QQQ,19.657516377074693,2013-02-19
SPY,IWM,19.66199079462071,2013-02-19
SPY,EFA,18.803794750686446,2013-02-19
SPY,EEM,18.2927875541111,2013-02-19
SPY,TLT,13.309101477492286,2013-02-19
SPY,LQD,2.5007381895399234,2013-02-19
SPY,GLD,0.5704151029120096,2013-02-19
QQQ,SPY,18.040033680885067,2013-02-19
QQQ,IWM,17.859824446514907,2013-02-19
QQQ,EFA,16.02551858981393,2013-02-19
QQQ,EEM,15.978201299751174,2013-02-19
QQQ,TLT,10.649110279431541,2013-02-19
QQQ,LQD,2.045478164746708,2013-02-19
QQQ,GLD,0.3180749789289654,2013-02-19
IWM,SPY,18.236041222661452,2013-02-19
IWM,QQQ,18.060554565391122,2013-02-19
IWM,EFA,16.35198488873238,2013-02-19
IWM,EEM,16.475693851235985,2013-02-19
IWM,TLT,10.68819183010367,2013-02-19
IWM,LQD,1.779686119766168,2013-02-19
IWM,GLD,0.5657171849204479,2013-02-19
EFA,SPY,17.46504648978261,2013-02-19
EFA,QQQ,16.089984884682416,2013-02-19
EFA,IWM,16.33346798356095,2013-02-19
EFA,EEM,18.632766188034267,2013-02-19
EFA,TLT,11.601193604865687,2013-02-19
EFA,LQD,1.4759795987116102,2013-02-19
EFA,GLD,1.7565181837879473,2013-02-19
EEM,SPY,16.619456019777832,2013-02-19
EEM,QQQ,15.742530553619341,2013-02-19
EEM,IWM,16.120032969257903,2013-02-19
EEM,EFA,18.233067476043775,2013-02-19
EEM,TLT,10.605941133620316,2013-02-19
EEM,LQD,1.129394555060809,2013-02-19
EEM,GLD,2.9932459339476587,2013-02-19
TLT,SPY,8.714015983611443,2013-02-19
TLT,QQQ,7.65673787502262,2013-02-19
TLT,IWM,7.579320158905969,2013-02-19
TLT,EFA,8.093624346998823,2013-02-19
TLT,EEM,7.572593460518892,2013-02-19
TLT,LQD,24.918670587318545,2013-02-19
TLT,GLD,0.7465696049871856,2013-02-19
LQD,SPY,0.3903946925350659,2013-02-19
LQD,QQQ,0.33848053072058715,2013-02-19
LQD,IWM,0.24296109052264148,2013-02-19
LQD,EFA,0.1887355263495212,2013-02-19
LQD,EEM,0.06681548977334698,2013-02-19
LQD,TLT,11.888602619185967,2013-02-19
