date,TCI,TO_SPY,FROM_SPY,NET_SPY,TO_QQQ,FROM_QQQ,NET_QQQ,TO_IWM,FROM_IWM,NET_IWM,TO_EFA,FROM_EFA,NET_EFA,TO_EEM,FROM_EEM,NET_EEM,TO_TLT,FROM_TLT,NET_TLT,TO_LQD,FROM_LQD,NET_LQD,TO_GLD,FROM_GLD,NET_GLD
2020-05-11,100.0,147.84313673645596,100.0,47.843136736455975,132.85491422105454,100.0,32.85491422105453,63.96359628720635,100.0,-36.03640371279365,138.2345400986288,100.0,38.23454009862879,69.76833530357041,100.0,-30.231664696429583,72.21521770213015,100.0,-27.784782297869846,86.04032076921739,100.0,-13.959679230782617,89.07993888173642,100.0,-10.920061118263568
2020-05-12,99.99999999999997,145.68541849992383,100.0,45.68541849992383,128.92114491218206,99.99999999999999,28.92114491218206,69.76275990945258,100.0,-30.237240090547413,139.49139537514833,100.0,39.49139537514832,67.85909070618398,99.99999999999999,-32.14090929381601,70.68146019754589,99.99999999999997,-29.31853980245409,88.47704186736149,100.0,-11.522958132638506,89.12168853220179,100.0,-10.878311467798207
2020-05-13,100.0,145.57040042728485,100.0,45.57040042728484,126.96310434224966,100.0,26.963104342249665,74.73039427333046,100.0,-25.269605726669543,135.46186278531601,100.0,35.46186278531602,69.81236412129412,99.99999999999999,-30.187635878705866,69.59525749494814,100.0,-30.404742505051864,87.73473094995208,100.0,-12.265269050047923,90.1318856056247,100.00000000000003,-9.868114394375315
2020-05-14,100.0,136.51180573996442,99.99999999999999,36.51180573996443,131.82864898106433,100.0,31.828648981064322,80.4051445070051,100.00000000000003,-19.594855492994924,134.7571785553877,100.0,34.75717855538769,64.73482816577568,100.00000000000003,-35.26517183422434,78.94063444100755,100.0,-21.05936555899245,88.69821468722063,100.0,-11.301785312779366,84.1235449225746,100.0,-15.8764550774254
2020-05-15,100.0,132.65334083583377,100.0,32.653340835833774,127.61394776924715,100.0,27.613947769247147,82.05842442354357,100.0,-17.941575576456426,133.88150610492954,100.0,33.88150610492955,70.85431788525189,100.0,-29.145682114748116,79.09288798183502,100.0,-20.907112018164973,88.41053220014554,99.99999999999999,-11.589467799854447,85.4350427992135,100.0,-14.564957200786488
2020-05-18,100.0,128.8604456309316,100.0,28.860445630931597,129.85092391370682,100.0,29.85092391370683,81.04726914945829,99.99999999999999,-18.9527308505417,137.7180129830107,100.0,37.718012983010695,69.42606953918542,100.0,-30.57393046081458,76.90609635359145,100.0,-23.093903646408553,88.22436622840526,99.99999999999999,-11.775633771594729,87.96681620171053,100.0,-12.033183798289471
2020-05-19,100.0,129.16838186544013,100.0,29.16838186544013,131.9642744487137,100.0,31.96427444871368,81.05759237466074,100.0,-18.942407625339264,137.02650358713518,100.0,37.026503587135174,68.42023692153725,100.0,-31.57976307846274,76.38196489741588,100.0,-23.618035102584123,88.03040824888417,99.99999999999999,-11.969591751115816,87.95063765621296,100.0,-12.04936234378704
2020-05-20,100.0,127.00027569096216,100.0,27.000275690962148,127.53131352189506,100.0,27.53131352189506,85.93623328368218,100.0,-14.063766716317815,138.46147355280465,100.0,38.46147355280465,66.91826382053625,100.0,-33.081736179463746,77.28332539438112,99.99999999999997,-22.71667460561886,90.37188634041281,100.0,-9.62811365958719,86.49722839532578,100.0,-13.502771604674225
2020-05-21,100.0,126.84350981174293,100.0,26.843509811742926,126.77059094678826,100.0,26.770590946788264,86.76065695070201,100.0,-13.239343049297991,138.30108046714247,100.0,38.30108046714247,66.34647494337958,99.99999999999997,-33.6535250566204,77.50741798587951,100.0,-22.492582014120487,87.2904955452857,99.99999999999999,-12.709504454714294,90.17977334907957,100.0,-9.82022665092044
2020-05-22,100.0,127.38689285669922,100.0,27.38689285669922,124.25582937796405,100.0,24.255829377964044,90.16483772848932,100.0,-9.835162271510677,137.62099949885567,100.0,37.62099949885567,65.57089416111074,100.0,-34.429105838889264,75.13283764384518,100.0,-24.867162356154815,86.61531820961274,100.0,-13.384681790387265,93.25239052342313,100.0,-6.747609476576866
2020-05-26,100.0,126.75595178824169,100.0,26.75595178824168,128.58912092492974,99.99999999999999,28.589120924929766,86.47070523278273,100.0,-13.52929476721727,139.63166016192528,100.0,39.631660161925275,64.54599910380054,99.99999999999997,-35.45400089619943,77.8853018891799,100.0,-22.114698110820097,84.00594821306228,99.99999999999999,-15.994051786937701,92.11531268607777,100.0,-7.884687313922223
2020-05-27,100.0,126.94662860330443,100.0,26.946628603304433,128.91844297803067,99.99999999999999,28.91844297803069,88.72557465912831,100.0,-11.274425340871685,136.0138573621361,99.99999999999999,36.0138573621361,67.41067531463337,100.0,-32.58932468536664,77.82977541173094,100.0,-22.170224588269072,83.77318021760885,100.0,-16.226819782391143,90.38186545342738,100.0,-9.618134546572621
2020-05-28,100.0,138.47983681653608,100.0,38.479836816536086,138.05847708808247,99.99999999999999,38.05847708808249,73.27676654725941,100.0,-26.72323345274059,137.7445683141631,100.0,37.744568314163104,57.25290711108349,100.0,-42.74709288891651,82.09159565538093,100.0,-17.908404344619065,82.00529964529932,100.0,-17.994700354700687,91.0905488221952,100.0,-8.909451177804794
2020-05-29,100.0,137.56544467736933,100.0,37.56544467736933,140.8187519474894,100.0,40.8187519474894,73.6458634372962,100.0,-26.3541365627038,135.46719367749236,100.0,35.46719367749236,58.32473739360978,99.99999999999997,-41.6752626063902,85.15703594678838,99.99999999999999,-14.842964053211604,79.08689672612354,100.0,-20.913103273876455,89.93407619383099,100.0,-10.065923806169009
2020-06-01,100.0,138.35727675019785,100.0,38.35727675019784,139.36225823682545,100.0,39.36225823682547,73.9338930485534,100.0,-26.0661069514466,136.22341353194957,100.00000000000003,36.223413531949554,59.47912569448059,99.99999999999999,-40.520874305519406,85.01918929385009,100.0,-14.980810706149917,77.62314832096644,99.99999999999999,-22.37685167903355,90.00169512317659,100.0,-9.998304876823417
2020-06-02,100.0,137.0592987986117,99.99999999999999,37.05929879861173,137.44492538601088,100.0,37.44492538601087,74.74545375747277,100.0,-25.254546242527233,134.08518154622175,100.0,34.085181546221754,62.49919771610896,99.99999999999999,-37.50080228389103,84.1187939306974,100.00000000000003,-15.881206069302623,77.98865549780423,100.0,-22.01134450219576,92.05849336707229,99.99999999999999,-7.941506632927709
2020-06-03,100.0,136.2702453372091,100.0,36.270245337209104,138.70627267878317,99.99999999999999,38.70627267878318,74.12266642113146,100.0,-25.877333578868544,132.85835423174154,100.0,32.85835423174155,63.534228321028905,99.99999999999999,-36.46577167897108,84.86109382034064,100.0,-15.138906179659362,77.81940804837642,100.0,-22.180591951623583,91.82773114138875,100.0,-8.172268858611254
2020-06-04,100.0,139.04928053541397,100.0,39.04928053541396,134.63398298330395,100.0,34.63398298330396,74.08703851853225,100.0,-25.912961481467743,129.25658368028115,100.0,29.256583680281167,70.98845144006535,100.0,-29.011548559934653,83.05718984518235,100.0,-16.942810154817643,81.36490542932962,100.0,-18.635094570670375,87.5625675678913,100.0,-12.437432432108686
2020-06-05,100.0,138.28068268396353,100.0,38.28068268396354,132.64185454890415,100.0,32.641854548904135,73.68872659633827,100.0,-26.31127340366173,128.51841929760442,100.0,28.518419297604435,71.11386101621338,100.0,-28.886138983786623,82.81665148786948,99.99999999999999,-17.183348512130515,78.05332421244265,100.0,-21.946675787557357,94.88648015666409,100.0,-5.1135198433359115
2020-06-08,100.0,137.3104203461912,100.0,37.31042034619119,132.6056155896596,99.99999999999997,32.60561558965964,74.23959033574516,100.0,-25.760409664254837,127.77647041222997,100.0,27.77647041222997,72.4592204964105,100.0,-27.54077950358951,83.30661667493008,100.0,-16.69338332506991,76.89409889368332,100.0,-23.105901106316683,95.40796725115018,99.99999999999999,-4.592032748849806
